NO,REC_CREATE_TIME,REC_CREATOR,REC_REVISE_TIME,REC_REVISOR,ARCHIVE_FLAG,WORKSHEET_NO,WHOLE_BACKLOG_CODE,UNIT_CODE,SG_SIGN,SG_STD,LACK_WT,OUT_THICK,OUT_WIDTH,BEGIN_TIME,FINISH_TIME,最早开始时间,最晚开始时间,ORDER_NO,STATUS
506,,,,,,L161258A03-1,IA,Z101,SUJ2S1,JX311-2009-04,10,140,140,20161026140938,20161026141445,20161026000539,20161102150235,L161258A03,1
507,,,,,,L161258A04-1,IA,Z101,SUJ2S1,JX311-2009-04,50,140,140,20161026141445,20161026144024,20161026002815,20161102135552,L161258A04,1
509,,,,,,L161258A05-1,IA,Z101,SUJ2S1,JX311-2009-04,50,140,140,20161026144024,20161026150603,20161026002815,20161102150119,L161258A05,1
514,,,,,,L161272A01-1,IA,Z101,SUJ2S1,JX311-2009-04,90,140,140,20161026150603,20161026155213,20161026005051,20161102190655,L161272A01,1
516,,,,,,GW63769A07-1,IA,Z101,SKF3,SKF D33-1 B10001,15,140,140,20161026155213,20161026155954,20161026000828,20161105025318,GW63769A07,1
517,,,,,,GW63769A08-1,IA,Z101,SKF3,SKF D33-1 B10001,0.942,140,140,20161026155954,20161026160023,20161026000031,20161105033328,GW63769A08,1
518,,,,,,GW63769A09-1,IA,Z101,SKF3,SKF D33-1 B10001,0.74,140,140,20161026160023,20161026160045,20161026000025,20161105033500,GW63769A09,1
519,,,,,,GW63908A01-1,IA,Z101,100Cr6,LA140101R,50,140,140,20161026160045,20161026162624,20161026002815,20161103030321,GW63908A01,1
521,,,,,,GW63530A05-1,IA,Z101,SKF3S,SKF D33-1 B10001R3,56.288,140,140,20161026162624,20161026165516,20161026003148,20161104204853,GW63530A05,1
524,,,,,,GW63530A06-1,IA,Z101,SKF3S,SKF D33-1 B10001R3,75,140,140,20161026165516,20161026173344,20161026004222,20161104213515,GW63530A06,1
527,,,,,,GW63530B06-1,IA,Z101,SKF3,SKF D33-1 B10001,0.182,140,140,20161026173344,20161026173349,20161026000006,20161105010243,GW63530B06,1
528,,,,,,GW63530B07-1,IA,Z101,SKF3,SKF D33-1 B10001,3.542,140,140,20161026173349,20161026173538,20161026000200,20161105005803,GW63530B07,1
529,,,,,,GW63912A01-1,IA,Z101,100Cr6,LA140101R,50,140,140,20161026173538,20161026180117,20161026002815,20161103040849,GW63912A01,1
532,,,,,,GW63912A03-1,IA,Z101,100Cr6,LA140101R,50,140,140,20161026180117,20161026182656,20161026002815,20161028224449,GW63912A03,1
533,,,,,,GW63914A01-1,IA,Z101,SKF3,"B10001""D""+B10000",100,140,140,20161026182656,20161026191814,20161026005630,20161103040114,GW63914A01,1
537,,,,,,GW63946A01-1,IA,Z101,100Cr6,XCJS-729-2015-02,12,140,140,20161026191814,20161026192423,20161026000646,20161029083506,GW63946A01,1
538,,,,,,GW63946A03-1,IA,Z101,100Cr6,XCJS-729-2015-02,100,140,140,20161026192423,20161026201541,20161026005630,20161029040306,GW63946A03,1
541,,,,,,GW63946A03-2,IA,Z101,100Cr6,XCJS-729-2015-02,100,140,140,20161026201541,20161026210659,20161026005630,20161029100307,GW63946A03,1
543,,,,,,GW63946A03-3,IA,Z101,100Cr6,XCJS-729-2015-02,67.788,140,140,20161026210659,20161026214145,20161026003818,20161029175830,GW63946A03,1
545,,,,,,GW63946A04-1,IA,Z101,100Cr6,XCJS-729-2015-02,35,140,140,20161026214145,20161026215942,20161026001946,20161030000000,GW63946A04,1
546,,,,,,G16A319A01-1,IA,Z101,SKF3,SKF D33-1 B10001,20,140,140,20161026215942,20161026220957,20161026001118,20161110103352,G16A319A01,1
547,,,,,,G16A319E01-1,IA,Z101,SUJ2S1,JX495-2006-01,0.284,140,140,20161026220957,20161026221005,20161026000009,20161110213427,G16A319E01,1
548,,,,,,G16A319J01-1,IA,Z101,SKF3S,SKF D33-1 B10001R3,12,140,140,20161026221005,20161026221614,20161026000646,20161110211742,G16A319J01,1
550,,,,,,G16A211A01-1,IA,Z101,SUJ2S1,EJX562-2013-01,1.842,140,140,20161026221614,20161026221710,20161026000102,20161110073307,G16A211A01,1
551,,,,,,G16A211A03-1,IA,Z101,SUJ2S1,EJX562-2013-01,0.074,140,140,20161026221710,20161026221712,20161026000002,20161110090048,G16A211A03,1
552,,,,,,G16A211A04-1,IA,Z101,SUJ2S1,EJX562-2013-01,20,140,140,20161026221712,20161026222727,20161026001118,20161110084447,G16A211A04,1
553,,,,,,G16A445A01-1,IA,Z101,20,GB/T699-1999,10,140,140,20161026222727,20161026223234,20161026000539,20161103115534,G16A445A01,1
554,,,,,,G16A975C02-1,IA,Z101,ZF6,XCJS-299-2008-01,60,140,140,20161026223234,20161026230321,20161026003354,20161030190815,G16A975C02,1
556,,,,,,GW64040C01-1,IA,Z101,AISI4140/42+A,XCJS-649-2014-03,10,140,140,20161026230321,20161026230828,20161026000539,20161125214637,GW64040C01,1
557,,,,,,GW64040C02-1,IA,Z101,AISI4140/42+A,XCJS-649-2014-03,10,140,140,20161026230828,20161026231335,20161026000539,20161125214637,GW64040C02,1
558,,,,,,GW64040C03-1,IA,Z101,AISI4140/42+A,XCJS-649-2014-03,10,140,140,20161026231335,20161026231842,20161026000539,20161125214637,GW64040C03,1
559,,,,,,GW64040C04-1,IA,Z101,AISI4140/42+A,XCJS-649-2014-03,10,140,140,20161026231842,20161026232349,20161026000539,20161125214637,GW64040C04,1
560,,,,,,GW64042F01-1,IA,Z101,AISI4340QT,XCJS-650-2016-03,10,140,140,20161026232349,20161026232856,20161026000539,20161125200748,GW64042F01,1
561,,,,,,GW64042F02-1,IA,Z101,AISI4340QT,XCJS-650-2016-03,10,140,140,20161026232856,20161026233403,20161026000539,20161125200748,GW64042F02,1
562,,,,,,GW64042F03-1,IA,Z101,AISI4340QT,XCJS-650-2016-03,20,140,140,20161026233403,20161026234418,20161026001118,20161125161536,GW64042F03,1
563,,,,,,G16A317B01-1,IA,Z101,SCM420H,JX173-2004-02,10,140,140,20161026234418,20161026234925,20161026000539,20161125234229,G16A317B01,1
564,,,,,,G16A268A02-1,IA,Z101,SAE8620H,JX1452-2012-01,20,140,140,20161026234925,20161026235940,20161026001118,20161102071059,G16A268A02,1
549,,,,,,G16A455F05-3,IA,Z101,C&U2,JX114-2012-04,100,50,0,20161026235940,20161027005058,20161026005630,20161125213923,G16A455F05,1
568,,,,,,G16A283C04-1,IA,Z101,15MnNi4MoA,JX1352-2014-03,40,140,140,20161027005058,20161027011129,20161026002236,20161111071406,G16A283C04,1
569,,,,,,G16A455N01-1,IA,Z101,SCM420H,JX1222-2011-01,30,140,140,20161027011129,20161027012652,20161026001657,20161103081816,G16A455N01,1
570,,,,,,G16A481B01-1,IA,Z101,SAE8620H,JX2423-2015-02,1.488,140,140,20161027012652,20161027012737,20161026000050,20161112102842,G16A481B01,1
571,,,,,,G16A485B02-1,IA,Z101,SCM420H,JX173-2004-02,26,140,140,20161027012737,20161027014057,20161026001441,20161125231428,G16A485B02,1
573,,,,,,G16A496C01-1,IA,Z101,SAE8620H,JX1249-2013-02,75,140,140,20161027014057,20161027021925,20161026004222,20161027174451,G16A496C01,1
815,,,,,,G16A428G01-1,IA,Z101,20,GB/T699-1999,10,140,140,20161027021925,20161027022432,20161026000539,20161125234606,G16A428G01,1
779,,,,,,G16A570K05-1,IA,Z101,SAE8620H,JX483-2008-02,10,130,0,20161027022432,20161027022939,20161026000539,20161125235356,G16A570K05,1
777,,,,,,G16A979A01-3,IA,Z101,BPW-2,JX1323-2012-02,100,125,0,20161027022939,20161027032057,20161026005630,20161125231200,G16A979A01,1
778,,,,,,G16A980A01-1,IA,Z101,BPW-2,JX1323-2012-02,100,125,0,20161027032057,20161027041215,20161026005630,20161125231200,G16A980A01,1
775,,,,,,G16A979A01-1,IA,Z101,BPW-2,JX1323-2012-02,100,125,0,20161027041215,20161027050333,20161026005630,20161125231200,G16A979A01,1
776,,,,,,G16A979A01-2,IA,Z101,BPW-2,JX1323-2012-02,100,125,0,20161027050333,20161027055451,20161026005630,20161125231200,G16A979A01,1
678,,,,,,G16A221A05-1,IA,Z101,SAE8620H,JX2475-2015-01,100,120,0,20161027055451,20161027064609,20161026005630,20161110024144,G16A221A05,1
679,,,,,,G16A470B09-1,IA,Z101,20CrMoH,JX2569-2015-01,30,120,0,20161027064609,20161027070132,20161026001657,20161125234149,G16A470B09,1
262,,,,,,GW64042G03-1,IA,Z101,AISI8620H,XCJS-647-2014-03,20,120,0,20161027070132,20161027071147,20161026002058,20161031143013,GW64042G03,1
574,,,,,,G16A570K04-1,IA,Z101,SAE8620H,JX483-2008-02,10,120,0,20161027071147,20161027071654,20161026000539,20161125235356,G16A570K04,1
576,,,,,,G16A518A02-1,IA,Z101,DFS5218SH2,JX1672-2013-02,25,120,0,20161027071654,20161027072943,20161026000000,20161030165058,G16A518A02,1
577,,,,,,GW64064A01-1,IA,Z101,SCM440H,XCJS-197-2007-01,100,120,0,20161027072943,20161027082101,20161026005630,20161102002346,GW64064A01,1
580,,,,,,GW64064A01-2,IA,Z101,SCM440H,XCJS-197-2007-01,20,120,0,20161027082101,20161027083116,20161026001118,20161102044701,GW64064A01,1
581,,,,,,G16A319I03-1,IA,Z101,20MnCr5,JX519-2009-04,45,120,0,20161027083116,20161027085421,20161026002525,20161107230445,G16A319I03,1
780,,,,,,GW64094A03-1,IA,Z101,41CrS4-hay1,XCJS-201-2016-06,100,110,0,20161027085421,20161027094539,20161026005630,20161102134758,GW64094A03,1
781,,,,,,G16B073A03-1,IA,Z101,ZF7B,XCJS-299-2008-01,40,110,0,20161027094539,20161027100610,20161026002236,20161104124629,G16B073A03,1
782,,,,,,GW63985B04-1,IA,Z101,SCM440H,XCJS-043-2002,0.098,110,0,20161027100610,20161027100613,20161026000003,20161125235956,GW63985B04,1
783,,,,,,GW63991A03-1,IA,Z101,SCM440H,XCJS-851-2016-01,17,110,0,20161027100613,20161027101456,20161026000936,20161031151426,GW63991A03,1
784,,,,,,G16A332A03-1,IA,Z101,ZF7B,XCJS-299-2008-01,100,110,0,20161027101456,20161027110614,20161026005630,20161107215137,G16A332A03,1
785,,,,,,G16A332A03-2,IA,Z101,ZF7B,XCJS-299-2008-01,100,110,0,20161027110614,20161027115732,20161026005630,20161107232432,G16A332A03,1
786,,,,,,G16A221A04-1,IA,Z101,SAE8620H,JX2475-2015-01,93.154,110,0,20161027115732,20161027124519,20161026005238,20161110012325,G16A221A04,1
787,,,,,,G16A221A04-2,IA,Z101,SAE8620H,JX2475-2015-01,6.846,110,0,20161027124519,20161027124849,20161026000000,20161110055343,G16A221A04,1
788,,,,,,G16A472B04-1,IA,Z101,ZF7B,XCJS-299-2008-01,18,110,0,20161027124849,20161027125803,20161026001010,20161111180316,G16A472B04,1
789,,,,,,G16A397A02-1,IA,Z101,(JG)35,GB/T699-1999,17.184,110,0,20161027125803,20161027130652,20161026000942,20161114180609,G16A397A02,1
790,,,,,,G169442A11-1,IA,Z101,GCr15,XCJS-451-2011-01,1.442,110,0,20161027130652,20161027130736,20161026000048,20161125235907,G169442A11,1
345,,,,,,G169761A01-1,IA,Z101,48MnV,JX1435-2012-01,4.956,110,0,20161027130736,20161027131008,20161026000511,20161108164230,G169761A01,1
606,,,,,,G16A600A06-1,IA,Z101,GCr15,JX393-2016-04,100,105,0,20161027131008,20161027140126,20161026005630,20161125225923,G16A600A06,1
613,,,,,,GW63991A01-1,IA,Z101,SCM440H,XCJS-851-2016-01,17,105,0,20161027140126,20161027141009,20161026000936,20161031154601,GW63991A01,1
616,,,,,,GW63991A02-1,IA,Z101,SCM440H,XCJS-851-2016-01,17,105,0,20161027141009,20161027141852,20161026000936,20161031153014,GW63991A02,1
620,,,,,,G16A335A01-1,IA,Z101,20CrMoH-Part2,JX2305-2015-01,27,105,0,20161027141852,20161027143243,20161026001515,20161108033806,G16A335A01,1
622,,,,,,G16A226A03-1,IA,Z101,20MnCrS5-2,JX1862-2016-03,50,105,0,20161027143243,20161027145822,20161026002815,20161109100620,G16A226A03,1
588,,,,,,G16A635A01-1,IA,Z101,38MnVS6,JX1570-2012-01,9,105,0,20161027145822,20161027150259,20161026000505,20161028012325,G16A635A01,1
325,,,,,,G16A462A02-2,IA,Z101,SVh40C,EJX517-2016-06,107,82,0,20161027150259,20161027155753,20161026015212,20161125165212,G16A462A02,1
355,,,,,,G16A551A01-2,IA,Z101,TL1438,JX1466-2013-03,100,82,0,20161027155753,20161027164911,20161026005630,20161030101040,G16A551A01,1
328,,,,,,G16A462A02-3,IA,Z101,SVh40C,EJX517-2016-06,86,82,0,20161027164911,20161027173318,20161026013011,20161125181609,G16A462A02,1
357,,,,,,G16A551A01-3,IA,Z101,TL1438,JX1466-2013-03,100,82,0,20161027173318,20161027182436,20161026005630,20161030083746,G16A551A01,1
