NO,REC_CREATE_TIME,REC_CREATOR,REC_REVISE_TIME,REC_REVISOR,ARCHIVE_FLAG,WORKSHEET_NO,WHOLE_BACKLOG_CODE,UNIT_CODE,SG_SIGN,SG_STD,LACK_WT,OUT_THICK,OUT_WIDTH,BEGIN_TIME,FINISH_TIME,最早开始时间,最晚开始时间,ORDER_NO,STATUS
618,,,,,,G16A319I02-1,IA,Z101,20MnCr5,JX519-2009-04,15,100,0,20161029003402,20161029004143,20161026000828,20161107235441,G16A319I02,1
619,,,,,,G16A332A02-1,IA,Z101,ZF7B,XCJS-299-2008-01,2.34,100,0,20161029004143,20161029004255,20161026000119,20161108011723,G16A332A02,1
592,,,,,,G16A632A06-1,IA,Z101,GCr15,GB/T18254-2002,20,100,0,20161029004255,20161029005310,20161026001118,20161125234752,G16A632A06,1
593,,,,,,G16A940A02-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,16,100,0,20161029005310,20161029010122,20161026000902,20161105023452,G16A940A02,1
623,,,,,,GW63942A08-1,IA,Z101,100Cr6,S130000,10,100,0,20161029010122,20161029010629,20161026000539,20161101060117,GW63942A08,1
625,,,,,,G16A377C06-1,IA,Z101,100Cr6,JXT030-2014-01,45,100,0,20161029010629,20161029012934,20161026002525,20161112213427,G16A377C06,1
600,,,,,,G16A597C01-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,20,100,0,20161029012934,20161029013949,20161026001118,20161026075921,G16A597C01,0
7,,,,,,G16A820A09-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.704,90,0,20161029013949,20161029014041,20161026000057,20161125235858,G16A820A09,1
629,,,,,,G16A381A13-2,IA,Z101,GCr15,XCJS-451-2011-01,100,100,0,20161029014041,20161029023159,20161026005630,20161125225923,G16A381A13,1
818,,,,,,G16A455A06-1,IA,Z101,100Cr6,S130000,20,100,0,20161029023159,20161029024214,20161026001118,20161111023512,G16A455A06,1
203,,,,,,G16A455F10-1,IA,Z101,C&U2,JX114-2012-04,100,75,0,20161029024214,20161029033332,20161026005630,20161125213923,G16A455F10,1
748,,,,,,G16A535D01-1,IA,Z101,C38+N+P,JX1541-2016-02,100,90,0,20161029033332,20161029042450,20161026014452,20161031064615,G16A535D01,1
367,,,,,,GW63862A02-1,IA,Z101,SCM440H,XCJS-043-2002,0.098,80,0,20161029042450,20161029042453,20161026000003,20161125235956,GW63862A02,1
368,,,,,,G16B021A02-1,IA,Z101,16MnCrS5,JX579-2013-01,9,80,0,20161029042453,20161029042930,20161026000505,20161104165329,G16B021A02,1
369,,,,,,G16B165A01-1,IA,Z101,20MnCr5,JX519-2009-04,100,80,0,20161029042930,20161029052048,20161026005630,20161104081230,G16B165A01,1
370,,,,,,G16B165B01-1,IA,Z101,ZF7B,XCJS-299-2008-01,20,80,0,20161029052048,20161029053103,20161026000000,20161104104415,G16B165B01,1
371,,,,,,G16A310B01-1,IA,Z101,38MnVS6,JX1090-2010-02,95.462,80,0,20161029053103,20161029062001,20161026005356,20161105131028,G16A310B01,1
372,,,,,,G169431D04-1,IA,Z101,SCr420HB,XCJS-575-2012-01,6.428,80,0,20161029062001,20161029062318,20161026000337,20161109001550,G169431D04,1
352,,,,,,G16A832A03-1,IA,Z101,ZF7B,XCJS-299-2008-01,45,80,0,20161029062318,20161029064623,20161026002525,20161104202238,G16A832A03,1
374,,,,,,G16A240B01-1,IA,Z101,S45CVS,JX352-2011-03,4.754,80,0,20161029064623,20161029064849,20161026000241,20161125235743,G16A240B01,1
375,,,,,,G16A200A01-1,IA,Z101,SCr420HB,XCJS-575-2012-01,1.29,80,0,20161029064849,20161029064928,20161026000043,20161108120824,G16A200A01,1
376,,,,,,G16A226A01-1,IA,Z101,20MnCrS5-2,JX1862-2016-03,36,80,0,20161029064928,20161029070756,20161026002020,20161109115602,G16A226A01,1
377,,,,,,G16A463F02-1,IA,Z101,20CrMoH,JX1470-2012-01,30,80,0,20161029070756,20161029072319,20161026000000,20161111202935,G16A463F02,1
24,,,,,,G16A496A02-3,IA,Z101,MS3007-2,JX1799-2013-01,100,90,0,20161029072319,20161029081437,20161026000000,20161028204829,G16A496A02,0
25,,,,,,G16A496A02-4,IA,Z101,MS3007-2,JX1799-2013-01,60.013,90,0,20161029081437,20161029084524,20161026000000,20161028214049,G16A496A02,0
26,,,,,,G16A598C01-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,30,90,0,20161029084524,20161029090047,20161026001657,20161026063252,G16A598C01,0
27,,,,,,G16A600A04-1,IA,Z101,GCr15,JX393-2016-04,50,90,0,20161029090047,20161029092626,20161026002815,20161125232941,G16A600A04,1
28,,,,,,GW64096A04-1,IA,Z101,100Cr6,S130000,50,90,0,20161029092626,20161029095205,20161026002815,20161102191230,GW64096A04,1
29,,,,,,GW63831A09-1,IA,Z101,100Cr6,S130000,30,90,0,20161029095205,20161029100728,20161026001657,20161101015419,GW63831A09,1
30,,,,,,GW63831B02-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,10,90,0,20161029100728,20161029101235,20161026000539,20161101032321,GW63831B02,1
31,,,,,,GW63942A07-1,IA,Z101,100Cr6,S130000,20,90,0,20161029101235,20161029102250,20161026001118,20161101052125,GW63942A07,1
791,,,,,,G16A239A03-1,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100,90,0,20161029102250,20161029111408,20161026005630,20161109012833,G16A239A03,1
792,,,,,,G16A240A02-1,IA,Z101,38MnVS6,JX1967-2014-01,40,90,0,20161029111408,20161029113439,20161026002236,20161106074949,G16A240A02,1
793,,,,,,G16A470D08-1,IA,Z101,SAE8620H,JX483-2008-02,60,90,0,20161029113439,20161029120526,20161026003354,20161125232338,G16A470D08,1
794,,,,,,G16A485C01-1,IA,Z101,20CrMoH,JX484-2010-05,32,90,0,20161029120526,20161029122151,20161026001804,20161125234036,G16A485C01,1
795,,,,,,G16A472B02-1,IA,Z101,ZF7B,XCJS-299-2008-01,2.242,90,0,20161029122151,20161029122300,20161026000116,20161112113457,G16A472B02,1
796,,,,,,G16A420A01-1,IA,Z101,42CrMo,EJX568-2014-02,35,90,0,20161029122300,20161029124057,20161026001946,20161114212852,G16A420A01,1
797,,,,,,G16A436E01-1,IA,Z101,SAE8620H,JX483-2008-02,50,90,0,20161029124057,20161029130636,20161026002815,20161125232941,G16A436E01,1
798,,,,,,G16A437A02-1,IA,Z101,42CrMo4,JX230-2012-07,100,90,0,20161029130636,20161029135754,20161026005630,20161113140807,G16A437A02,1
799,,,,,,G16A437A02-2,IA,Z101,42CrMo4,JX230-2012-07,100,90,0,20161029135754,20161029144912,20161026005630,20161113155447,G16A437A02,1
800,,,,,,G16A437A02-3,IA,Z101,42CrMo4,JX230-2012-07,50,90,0,20161029144912,20161029151451,20161026002815,20161113192754,G16A437A02,1
32,,,,,,GW63942B01-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,10,90,0,20161029151451,20161029151958,20161026000539,20161101061035,GW63942B01,1
33,,,,,,G16A551A02-1,IA,Z101,TL1438,JX1466-2013-03,94.3,90,0,20161029151958,20161029160821,20161026005317,20161030010851,G16A551A02,1
34,,,,,,G16A556E02-1,IA,Z101,SAE8620H(S),JX129-2001-01,20,90,0,20161029160821,20161029161836,20161026001118,20161125234752,G16A556E02,1
41,,,,,,GW64152B04-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161029161836,20161029170954,20161026005630,20161101141954,GW64152B04,1
42,,,,,,GW64152B05-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161029170954,20161029180112,20161026005630,20161101124700,GW64152B05,1
43,,,,,,GW64152B06-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161029180112,20161029185230,20161026005630,20161101111406,GW64152B06,1
44,,,,,,GW64152B07-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161029185230,20161029194348,20161026005630,20161101094111,GW64152B07,1
17,,,,,,G16A535C01-6,IA,Z101,SAE1538MV,JX1265-2014-02,81.67,88,0,20161029194348,20161029202542,20161026000000,20161031063533,G16A535C01,1
692,,,,,,G169851B01-1,IA,Z101,SAE1538MV,JX1265-2014-02,20.404,88,0,20161029202542,20161029203610,20161026001131,20161108151444,G169851B01,1
6,,,,,,G16A808A01-1,IA,Z101,TL1438,JX1466-2013-03,20,88,0,20161029203610,20161029204625,20161026001118,20161102220050,G16A808A01,1
12,,,,,,G16A535C01-1,IA,Z101,SAE1538MV,JX1265-2014-02,100,88,0,20161029204625,20161029213743,20161026005630,20161030233344,G16A535C01,1
13,,,,,,G16A535C01-2,IA,Z101,SAE1538MV,JX1265-2014-02,100,88,0,20161029213743,20161029222901,20161026005630,20161031010639,G16A535C01,1
14,,,,,,G16A535C01-3,IA,Z101,SAE1538MV,JX1265-2014-02,100,88,0,20161029222901,20161029232019,20161026005630,20161031023933,G16A535C01,1
15,,,,,,G16A535C01-4,IA,Z101,SAE1538MV,JX1265-2014-02,100,88,0,20161029232019,20161030001137,20161026005630,20161031041227,G16A535C01,1
16,,,,,,G16A535C01-5,IA,Z101,SAE1538MV,JX1265-2014-02,18.33,88,0,20161030001137,20161030002101,20161026001021,20161031081307,G16A535C01,1
631,,,,,,GW64152B08-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161030002101,20161030011219,20161026005630,20161101080817,GW64152B08,1
633,,,,,,GW64152B09-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161030011219,20161030020337,20161026005630,20161101063523,GW64152B09,1
635,,,,,,GW64152B10-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161030020337,20161030025455,20161026005630,20161101050229,GW64152B10,1
637,,,,,,GW64152B11-1,IA,Z101,8620,XCJS-820-2016-01,7.624,88,0,20161030025455,20161030025849,20161026000418,20161101081205,GW64152B11,1
638,,,,,,GW64152B11-2,IA,Z101,8620,XCJS-820-2016-01,92.376,88,0,20161030025849,20161030034612,20161026000000,20161101034548,GW64152B11,1
38,,,,,,GW64152B01-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161030034612,20161030043730,20161026005630,20161101185837,GW64152B01,1
39,,,,,,GW64152B02-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161030043730,20161030052848,20161026005630,20161101172542,GW64152B02,1
601,,,,,,G16A600A05-1,IA,Z101,GCr15,JX393-2016-04,100,100,0,20161030052848,20161030062006,20161026005630,20161125225923,G16A600A05,1
586,,,,,,G16A776A01-2,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100,100,0,20161030062006,20161030071124,20161026005630,20161102211359,G16A776A01,1
609,,,,,,G16A849A01-1,IA,Z101,DFS5218SH3,JX1672-2013-02,0.548,100,0,20161030071124,20161030071140,20161026000018,20161104223905,G16A849A01,1
610,,,,,,GW64094A01-1,IA,Z101,41CrS4-hay1,XCJS-201-2016-06,100,100,0,20161030071140,20161030080258,20161026005630,20161102100647,GW64094A01,1
612,,,,,,G16B073A02-1,IA,Z101,ZF7B,XCJS-299-2008-01,40,100,0,20161030080258,20161030082329,20161026002236,20161104132339,G16B073A02,1
583,,,,,,G16A776A01-1,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100,100,0,20161030082329,20161030091447,20161026005630,20161102224653,G16A776A01,1
589,,,,,,G16A798C11-1,IA,Z101,SAE8620H,JX483-2008-02,60,100,0,20161030091447,20161030094534,20161026003354,20161125232338,G16A798C11,1
366,,,,,,GW64128A02-1,IA,Z101,ZF7B,XCJS-299-2008-01,50,80,0,20161030094534,20161030101113,20161026002815,20161102012347,GW64128A02,1
648,,,,,,GW63989A01-4,IA,Z101,ZF7B,XCJS-299-2008-01,100,90,0,20161030101113,20161030110231,20161026005630,20161031130505,GW63989A01,1
668,,,,,,G16A368B01-1,IA,Z101,SKF3,XCJS-340-2009-01,20,90,0,20161030110231,20161030111246,20161026001118,20161107135434,G16A368B01,1
669,,,,,,G16A212B01-1,IA,Z101,SKF3,XCJS-340-2009-01,16,90,0,20161030111246,20161030112058,20161026000902,20161109152732,G16A212B01,1
670,,,,,,G16A455I10-1,IA,Z101,C&U3,JX704-2012-02,20,90,0,20161030112058,20161030113113,20161026001118,20161110162340,G16A455I10,1
671,,,,,,G16A381F07-1,IA,Z101,100Cr6,XCJS-274-2008-01,60,90,0,20161030113113,20161030120200,20161026003354,20161113034408,G16A381F07,1
701,,,,,,G16A381B10-1,IA,Z101,GCr15,XCJS-453-2011-01,30,100,0,20161030120200,20161030121723,20161026001657,20161125234149,G16A381B10,1
742,,,,,,G16A524C01-1,IA,Z101,27MnCr5,EJX593-2014-01,19,75,0,20161030121723,20161030122707,20161026001955,20161125224402,G16A524C01,1
744,,,,,,G16A524A01-2,IA,Z101,SCr420H-3X,EJX576-2014-02,43,75,0,20161030122707,20161030124910,20161026061027,20161125183438,G16A524A01,1
745,,,,,,G16A524A01-1,IA,Z101,SCr420H-3X,EJX576-2014-02,107,75,0,20161030124910,20161030134404,20161026152149,20161125103023,G16A524A01,1
191,,,,,,GW63831A08-1,IA,Z101,100Cr6,S130000,40,75,0,20161030134404,20161030140435,20161026002236,20161101005552,GW63831A08,1
192,,,,,,GW63942A05-1,IA,Z101,100Cr6,S130000,30,75,0,20161030140435,20161030141958,20161026001657,20161101040423,GW63942A05,1
193,,,,,,G16A381A08-1,IA,Z101,GCr15,XCJS-451-2011-01,100,75,0,20161030141958,20161030151116,20161026005630,20161125225923,G16A381A08,1
194,,,,,,G16A381A08-2,IA,Z101,GCr15,XCJS-451-2011-01,100,75,0,20161030151116,20161030160234,20161026005630,20161125225923,G16A381A08,1
195,,,,,,G16A995C01-1,IA,Z101,SAE8620H(S),JX129-2001-01,50,75,0,20161030160234,20161030162813,20161026002815,20161125232941,G16A995C01,1
196,,,,,,G16A285A04-1,IA,Z101,20MnCrS5-2,JX1862-2016-03,30,75,0,20161030162813,20161030164336,20161026001657,20161106135201,G16A285A04,1
771,,,,,,G169574C01-1,IA,Z101,27MnCr5,EJX593-2014-01,50,75,0,20161030164336,20161030170915,20161026005226,20161125204005,G169574C01,1
197,,,,,,G16A217A02-1,IA,Z101,SAE8620H,JX483-2008-02,3.524,75,0,20161030170915,20161030171103,20161026000000,20161125235751,G16A217A02,1
198,,,,,,G16A470B06-1,IA,Z101,20CrMoH,JX2569-2015-01,100,75,0,20161030171103,20161030180221,20161026000000,20161125225923,G16A470B06,1
825,,,,,,G16A411E01-1,IA,Z101,SCM20,EJX585-2014-01,0.156,75,0,20161030180221,20161030180225,20161026000009,20161125235922,G16A411E01,1
647,,,,,,G16A474D03-1,IA,Z101,ZL20CrMoHE,JX541-2011-02,18,75,0,20161030180225,20161030181139,20161026001010,20161111104234,G16A474D03,1
199,,,,,,G16A470B06-2,IA,Z101,20CrMoH,JX2569-2015-01,15,75,0,20161030181139,20161030181920,20161026000000,20161125235054,G16A470B06,1
649,,,,,,G16A420A02-1,IA,Z101,42CrMo,EJX568-2014-02,50,75,0,20161030181920,20161030184459,20161026002815,20161113122238,G16A420A02,1
650,,,,,,G16A437A01-1,IA,Z101,42CrMo4,JX230-2012-07,100,75,0,20161030184459,20161030193617,20161026005630,20161113120007,G16A437A01,1
200,,,,,,G16A337A07-1,IA,Z101,GCr15,GB/T18254-2002,50,75,0,20161030193617,20161030200156,20161026002815,20161125232941,G16A337A07,1
652,,,,,,G16A437A01-2,IA,Z101,42CrMo4,JX230-2012-07,20,75,0,20161030200156,20161030201211,20161026001118,20161113163707,G16A437A01,1
653,,,,,,G16A437B01-1,IA,Z101,38MnVS6,JX1221-2013-02,100,75,0,20161030201211,20161030210329,20161026005630,20161113183447,G16A437B01,1
201,,,,,,G16A455I08-1,IA,Z101,C&U3,JX704-2012-02,30,75,0,20161030210329,20161030211852,20161026001657,20161110164849,G16A455I08,1
655,,,,,,G16A437B01-2,IA,Z101,38MnVS6,JX1221-2013-02,100,75,0,20161030211852,20161030221010,20161026005630,20161113200741,G16A437B01,1
202,,,,,,G16A455D10-1,IA,Z101,C&U1,JX498-2012-02,50,75,0,20161030221010,20161030223549,20161026002815,20161125232941,G16A455D10,1
736,,,,,,G16A511E03-1,IA,Z101,SKF3,"B10001""D""+B10000",30,70,0,20161030223549,20161030225112,20161026001657,20161028160248,G16A511E03,0
737,,,,,,G16A583A04-1,IA,Z101,GCr15,Q/320281PA12-2011,50,70,0,20161030225112,20161030231651,20161026002815,20161125232941,G16A583A04,1
738,,,,,,G16A601B02-1,IA,Z101,SUJ2S1,JX495-2006-01,60,70,0,20161030231651,20161030234738,20161026003354,20161026033730,G16A601B02,0
739,,,,,,G16A579B06-1,IA,Z101,SKF3,SKF D33-1 B10001,30,70,0,20161030234738,20161031000301,20161026001657,20161026150524,G16A579B06,0
740,,,,,,GW64096A02-1,IA,Z101,100Cr6,S130000,25,70,0,20161031000301,20161031001550,20161026001407,20161102191916,GW64096A02,1
741,,,,,,GW63831A07-1,IA,Z101,100Cr6,S130000,40,70,0,20161031001550,20161031003621,20161026002236,20161101001842,GW63831A07,1
704,,,,,,G16A800A02-1,IA,Z101,20MnCr5-5,JX2678-2016-02,60,70,0,20161031003621,20161031010708,20161026003354,20161102214824,G16A800A02,1
743,,,,,,G16B109A01-1,IA,Z101,100Cr6,XCJS-274-2008-01,50,70,0,20161031010708,20161031013247,20161026002815,20161104113151,G16B109A01,1
334,,,,,,G16A455I07-1,IA,Z101,C&U3,JX704-2012-02,92.39,70,0,20161031013247,20161031022011,20161026013653,20161110150351,G16A455I07,1
706,,,,,,G16A832A02-1,IA,Z101,ZF7B,XCJS-299-2008-01,1.418,70,0,20161031022011,20161031022054,20161026000048,20161102214329,G16A832A02,1
746,,,,,,GW63942A04-1,IA,Z101,100Cr6,S130000,40,70,0,20161031022054,20161031024125,20161026002236,20161101030556,GW63942A04,1
747,,,,,,G16A321A06-1,IA,Z101,GCr15,XCJS-451-2011-01,46.784,70,0,20161031024125,20161031030525,20161026002626,20161125233138,G16A321A06,1
707,,,,,,GW64128A01-1,IA,Z101,ZF7B,XCJS-299-2008-01,1.17,70,0,20161031030525,20161031030601,20161026000039,20161102214255,GW64128A01,1
749,,,,,,G16A321A06-2,IA,Z101,GCr15,XCJS-451-2011-01,53.216,70,0,20161031030601,20161031033319,20161026000000,20161125232744,G16A321A06,1
750,,,,,,G16A377G03-1,IA,Z101,GCr15,GB/T18254-2002,50,70,0,20161031033319,20161031035858,20161026002815,20161125232941,G16A377G03,1
751,,,,,,G16A377H03-1,IA,Z101,GCr15,Q/320281PA12-2011,40,70,0,20161031035858,20161031041929,20161026002236,20161125233545,G16A377H03,1
752,,,,,,G16A381A07-1,IA,Z101,GCr15,XCJS-451-2011-01,86.476,70,0,20161031041929,20161031050351,20161026004851,20161125230735,G16A381A07,1
710,,,,,,GW63862A01-1,IA,Z101,SCM440H,XCJS-043-2002,0.188,70,0,20161031050351,20161031050356,20161026000006,20161125235953,GW63862A01,1
754,,,,,,G16A377C04-1,IA,Z101,100Cr6,JXT030-2014-01,100,70,0,20161031050356,20161031055514,20161026005630,20161106200254,G16A377C04,1
711,,,,,,G16B021A01-1,IA,Z101,16MnCrS5,JX579-2013-01,9,70,0,20161031055514,20161031055951,20161026000505,20161104170150,G16B021A01,1
827,,,,,,G16A411R03-1,IA,Z101,S48C,EJX154-2012-04,31,70,0,20161031055951,20161031061545,20161026003230,20161125215603,G16A411R03,1
756,,,,,,G16A377C04-2,IA,Z101,100Cr6,JXT030-2014-01,100,70,0,20161031061545,20161031070703,20161026005630,20161106181614,G16A377C04,1
757,,,,,,G16A247A02-1,IA,Z101,SKF3,SKF D33-1 B10001,30,70,0,20161031070703,20161031072226,20161026001657,20161106090320,G16A247A02,1
759,,,,,,G16A465A03-1,IA,Z101,GCr15,GB/T18254-2002,40,70,0,20161031072226,20161031074257,20161026002236,20161125233545,G16A465A03,1
760,,,,,,G16A455O04-1,IA,Z101,SKF3,SKF D33-1 B10001,30,70,0,20161031074257,20161031075820,20161026001657,20161110115730,G16A455O04,1
761,,,,,,G16A455V01-1,IA,Z101,SUJ2R,JX1071-2014-04,50,70,0,20161031075820,20161031082359,20161026002815,20161110101217,G16A455V01,1
762,,,,,,G16A381B07-1,IA,Z101,GCr15,XCJS-453-2011-01,50,70,0,20161031082359,20161031084938,20161026002815,20161125232941,G16A381B07,1
765,,,,,,G16A455E07-1,IA,Z101,C&U1-T,JX498-2012-02,100,70,0,20161031084938,20161031094056,20161026005630,20161125225923,G16A455E07,1
712,,,,,,GW64055A02-1,IA,Z101,20MnCr5,XCJS-818-2016-01,100,70,0,20161031094056,20161031103214,20161026005630,20161031105225,GW64055A02,1
767,,,,,,G16A455E07-2,IA,Z101,C&U1-T,JX498-2012-02,100,70,0,20161031103214,20161031112332,20161026005630,20161125225923,G16A455E07,1
713,,,,,,GW64055A02-2,IA,Z101,20MnCr5,XCJS-818-2016-01,65.5,70,0,20161031112332,20161031115708,20161026003700,20161031113259,GW64055A02,1
714,,,,,,G16A319H01-1,IA,Z101,ZF7B,XCJS-299-2008-01,2.356,70,0,20161031115708,20161031115820,20161026000119,20161107231328,G16A319H01,1
770,,,,,,G16A455E07-3,IA,Z101,C&U1-T,JX498-2012-02,100,70,0,20161031115820,20161031124938,20161026005630,20161125225923,G16A455E07,1
715,,,,,,G16A285C01-1,IA,Z101,20CrMoH,JX484-2010-05,15,70,0,20161031124938,20161031125719,20161026000000,20161125235054,G16A285C01,1
390,,,,,,G16A600A03-1,IA,Z101,GCr15,JX393-2016-04,50,85,0,20161031125719,20161031132258,20161026002815,20161125232941,G16A600A03,1
396,,,,,,G16A381A10-1,IA,Z101,GCr15,XCJS-451-2011-01,100,85,0,20161031132258,20161031141416,20161026005630,20161125225923,G16A381A10,1
397,,,,,,G16A381A10-2,IA,Z101,GCr15,XCJS-451-2011-01,100,85,0,20161031141416,20161031150534,20161026005630,20161125225923,G16A381A10,1
398,,,,,,G16A463A06-1,IA,Z101,20MnCrS5,JX1251-2011-01,100,85,0,20161031150534,20161031155652,20161026005630,20161111162739,G16A463A06,1
411,,,,,,G16A381B09-1,IA,Z101,GCr15,XCJS-453-2011-01,30,85,0,20161031155652,20161031161215,20161026001657,20161125234149,G16A381B09,1
412,,,,,,G16A381D01-1,IA,Z101,Grade 3S,11H 1551 025,30,85,0,20161031161215,20161031162738,20161026001657,20161113012832,G16A381D01,1
409,,,,,,G16A455O05-1,IA,Z101,SKF3,SKF D33-1 B10001,10,80,0,20161031162738,20161031163245,20161026000539,20161110123047,G16A455O05,1
410,,,,,,G16A381B08-1,IA,Z101,GCr15,XCJS-453-2011-01,30,80,0,20161031163245,20161031164808,20161026001657,20161125234149,G16A381B08,1
348,,,,,,G16A798C10-1,IA,Z101,SAE8620H,JX483-2008-02,25,80,0,20161031164808,20161031170057,20161026001407,20161125234450,G16A798C10,1
349,,,,,,G16A800C02-1,IA,Z101,20MnCr5-2,JX2656-2016-02,27,80,0,20161031170057,20161031171448,20161026001515,20161102220645,G16A800C02,1
350,,,,,,G16A820A07-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.08,80,0,20161031171448,20161031171521,20161026000036,20161125235920,G16A820A07,1
414,,,,,,G16A455D11-1,IA,Z101,C&U1,JX498-2012-02,100,80,0,20161031171521,20161031180639,20161026005630,20161125225923,G16A455D11,1
351,,,,,,G16A820A08-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.178,80,0,20161031180639,20161031180715,20161026000039,20161125235917,G16A820A08,1
416,,,,,,G16A455E08-1,IA,Z101,C&U1-T,JX498-2012-02,100,80,0,20161031180715,20161031185833,20161026005630,20161125225923,G16A455E08,1
386,,,,,,G16A512A01-1,IA,Z101,100Cr6,S130000,30,80,0,20161031185833,20161031191356,20161026001657,20161028144828,G16A512A01,0
387,,,,,,G16A517A01-1,IA,Z101,GCr15,GB/T18254-2002,50.748,80,0,20161031191356,20161031193958,20161026002840,20161125232914,G16A517A01,1
388,,,,,,G16A517A01-2,IA,Z101,GCr15,GB/T18254-2002,49.252,80,0,20161031193958,20161031200514,20161026000000,20161125233009,G16A517A01,1
389,,,,,,G16A600A02-1,IA,Z101,GCr15,JX393-2016-04,100,80,0,20161031200514,20161031205632,20161026005630,20161125225923,G16A600A02,1
340,,,,,,G16A606A06-1,IA,Z101,20MnCr5,JX1759-2013-01,81.74,80,0,20161031205632,20161031213828,20161026004611,20161028044819,G16A606A06,0
391,,,,,,GW64096A03-1,IA,Z101,100Cr6,S130000,25,80,0,20161031213828,20161031215117,20161026001407,20161102194230,GW64096A03,1
392,,,,,,GW63942A06-1,IA,Z101,100Cr6,S130000,30,80,0,20161031215117,20161031220640,20161026001657,20161101043215,GW63942A06,1
393,,,,,,G16A321A07-1,IA,Z101,GCr15,XCJS-451-2011-01,100,80,0,20161031220640,20161031225758,20161026005630,20161125225923,G16A321A07,1
394,,,,,,G16A321A07-2,IA,Z101,GCr15,XCJS-451-2011-01,100,80,0,20161031225758,20161031234916,20161026005630,20161125225923,G16A321A07,1
395,,,,,,G16A377H04-1,IA,Z101,GCr15,Q/320281PA12-2011,20,80,0,20161031234916,20161031235931,20161026001118,20161125234752,G16A377H04,1
235,,,,,,G16A465H01-1,IA,Z101,TL4227,JX673-2008-01,80,80,0,20161031235931,20161101004033,20161026012353,20161112073353,G16A465H01,1
346,,,,,,G16A619A03-1,IA,Z101,ETN-22,XCJS-324-2011-04,0.194,80,0,20161101004033,20161101004038,20161026000006,20161028092305,G16A619A03,0
594,,,,,,G16A512A03-1,IA,Z101,100Cr6,S130000,30,100,0,20161101004038,20161101005601,20161026001657,20161028142036,G16A512A03,0
595,,,,,,G16A531A01-1,IA,Z101,SKF3,XCJS-340-2009-01,35,100,0,20161101005601,20161101011358,20161026001946,20161030165254,G16A531A01,0
680,,,,,,G16A217A01-1,IA,Z101,SAE8620H,JX483-2008-02,60,100,0,20161101011358,20161101014445,20161026003354,20161125232338,G16A217A01,1
681,,,,,,G16A220A01-1,IA,Z101,S45CVMn,JX2039-2014-01,100,100,0,20161101014445,20161101023603,20161026005630,20161109130207,G16A220A01,1
684,,,,,,G16A220A01-2,IA,Z101,S45CVMn,JX2039-2014-01,100,100,0,20161101023603,20161101032721,20161026005630,20161109143502,G16A220A01,1
686,,,,,,G16A220A01-3,IA,Z101,S45CVMn,JX2039-2014-01,100,100,0,20161101032721,20161101041839,20161026005630,20161109160756,G16A220A01,1
688,,,,,,G16A220A01-4,IA,Z101,S45CVMn,JX2039-2014-01,100,100,0,20161101041839,20161101050957,20161026005630,20161109174050,G16A220A01,1
690,,,,,,G16A220A01-5,IA,Z101,S45CVMn,JX2039-2014-01,80,100,0,20161101050957,20161101055059,20161026004512,20161109195619,G16A220A01,1
104,,,,,,GW63985B02-1,IA,Z101,SCM440H,XCJS-043-2002,2.582,60,0,20161101055059,20161101055218,20161026000000,20161125235826,GW63985B02,1
105,,,,,,G169541E01-1,IA,Z101,20MnCrS5,JX2786-2016-01,0.098,60,0,20161101055218,20161101055221,20161026000003,20161109005427,G169541E01,1
106,,,,,,G169427C01-1,IA,Z101,SAE8620H,JX1249-2013-02,0.668,60,0,20161101055221,20161101055241,20161026000022,20161109002514,G169427C01,1
107,,,,,,G16A228A02-1,IA,Z101,42CrMo4,JX230-2012-07,20,60,0,20161101055241,20161101060256,20161026001118,20161109095243,G16A228A02,1
40,,,,,,GW64152B03-1,IA,Z101,8620,XCJS-820-2016-01,100,88,0,20161101060256,20161101065414,20161026005630,20161101155248,GW64152B03,1
658,,,,,,G16A310A03-4,IA,Z101,TL1438,JX1457-2016-02,100,87,0,20161101065414,20161101074532,20161026005630,20161105212100,G16A310A03,1
660,,,,,,G16A310A03-5,IA,Z101,TL1438,JX1457-2016-02,100,87,0,20161101074532,20161101083650,20161026005630,20161105194806,G16A310A03,1
